,Title,Source,Description,Keywords
726,print,https://research.britishmuseum.org/collectionimages/AN00535/AN00535106_001_l.jpg,Woodblock print. Kabuki. The actor Onoe Kikugoro as Kakogawa Seijuro. Nishiki-e on paper.,kabuki;actor/actress
727,print,https://research.britishmuseum.org/collectionimages/AN00246/AN00246291_001_l.jpg,Woodblock. Kabuki. The actor Nakamura Shikan as Ishikawa Hachiemon. Nishiki-e on paper.,kabuki;actor/actress
728,print,https://research.britishmuseum.org/collectionimages/AN00529/AN00529215_001_l.jpg,Woodblock print. Kabuki. Actor of the Segawa family in female role. Nishiki-e on paper.,kabuki;actor/actress
729,print / hashira-e,https://research.britishmuseum.org/collectionimages/AN00634/AN00634374_001_l.jpg,"Colour woodblock print. Young girl watching as lover reads a letter in which she declares her passion for him, with poem; parody of Hanshan and Shide. 1 of 2 impressions. Nishiki-e on paper.",literature;child
730,Nigatsu sanmai tsuzuki ÅE∫ÅEÅEÅEÅEÅE∏ÅEÅEÅEßÅE∫ÅE (The Second Month) / Toyokuni Toyohiro ryoga juniko ÅE±ÅEÅEÅEÅEÅE±ÅEÅEª£ÅE∏°ÅEÅEªÅEÅEÅEÅE∫ÅEÅEÄÅE (The Twelve Seasons Painted by Toyohiro and Toyokuni),https://research.britishmuseum.org/collectionimages/AN00692/AN00692574_001_l.jpg,"Colour woodblock print, two sheets of a triptych. Prostitutes of Shin-Yoshiwara district preparing for the festival of Inari: preparing offerings at right, writing dedicatory inscription in centre, making flower-arrangements at left. Inscribed, signed and marked.",courtesan/prostitute;festival
731,Kikoku UrashimaÅEÄÄÅE∏∞ÅEÅEΩÅEµ¶ÅE≥∂ (Urashima Returning Home) / Yoshitoshi ryakugaÅEÄÄÅEÅE≥ÅEπ¥ÅEÅE•ÅEÅEª (Quick Drawings by Yoshitoshi),https://research.britishmuseum.org/collectionimages/AN00526/AN00526794_001_l.jpg,"Chuban woodblock print, relating to the group of 52 preparatory drawings.",myth/legend
732,Atsuso: Bunsei nenkan naishitsu no fuzoku ÅEÅEÅEÅEÅE§ÅEÅEÅEÅEÅEÅE: ÅEÅEÅEÅEÅEøÅEπ¥ÅEÅEÅEÅEÅEÅEÅEÆ§ÅEÅEÆÅE¢®ÅEøÅE (Looking Hot: The Customs of a Housewife of the Bunsei Era) / Fuzoku sanjuni soÅEÄÄÅE¢®ÅEøÅEÅE∏ÅEÅEÅEÅEÅE∫ÅEÅEÅE∏ (Thirty-two Aspects of Customs and Manners),https://research.britishmuseum.org/collectionimages/AN00834/AN00834945_001_l.jpg,Colour woodblock print. Girl being tattooed.,
733,Shizugatake tsuki ÅEøÅEÅE¥•ÅEÅE∂ÅE∂ΩÅEÅEÅE (The Moon at Mt Shizugatake) / Tsuki hyaku sugata (One Hundred Aspects of the Moon),https://research.britishmuseum.org/collectionimages/AN00759/AN00759709_001_l.jpg,Colour woodblock print. The warrior Toyotomi Hideyoshi sounding a conch-shell horn to signal the attach on Shizugatake fortress.,warrior;moon
734,Shi-cho no zu,https://research.britishmuseum.org/collectionimages/AN00510/AN00510325_001_l.jpg,Woodblock print. Kabuki. Actor Ichikawa Yaozo as a samurai (chicho?) in choken dress beneath flowering cherry. Nishiki-e on paper.,tree/bush;samurai;kabuki;fruit;actor/actress
735,print,https://research.britishmuseum.org/collectionimages/AN00510/AN00510830_001_l.jpg,"Woodblock print. Kabuki. Actor Otani Oniji as a samurai in front of bell-shape window, his hand on his sword. Nishiki-e on paper.",samurai;kabuki;arms/armour;actor/actress
736,Amerika-jin yuko sakamori,https://research.britishmuseum.org/collectionimages/AN00512/AN00512198_001_l.jpg,Woodblock print.Yokohama-e. An American man with a Japanese woman. Nishiki-e on paper.,yokohama-e;foreigner
737,print,https://research.britishmuseum.org/collectionimages/AN00529/AN00529233_001_l.jpg,Woodblock print. Popular culture. A mother suckling her baby in front of a toilet mirror. Nishiki-e on paper.,child
738,print,https://research.britishmuseum.org/collectionimages/AN00515/AN00515366_001_l.jpg,Woodblock print. Bijinga. Tea-house girl Takashima O-Hisa seen in her mirror about to apply rouge to her lips. Nishiki-e on paper.,child;bijin
740,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00230/AN00230389_001_l.jpg,Hanging scroll. Sotori-hime and the spider. Ink and colours on silk.,myth/legend;arachnid
741,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00229/AN00229664_001_l.jpg,Hanging scroll. Riverscape with raft and boat. Ink and colours on silk.,landscape;punting
742,print,https://research.britishmuseum.org/collectionimages/AN00533/AN00533862_001_l.jpg,Woodblock print. Bijinga. Hanamurasaki of the Tamaya walking along the Yoshiwara at cherry blossom time. Nishiki-e on paper.,cherry blossom;bijin
743,screen / painting,https://research.britishmuseum.org/collectionimages/AN00517/AN00517062_001_l.jpg,"Painting, one of a pair of six-panel screens. Festivals and popular amusements of the twelve months, including Zhong Kui and demons. Ink and colour on silk. Signed and sealed.",devil/demon;deity
744,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00327/AN00327154_001_l.jpg,"Painting, hanging scroll. Shoki the Demon Queller and two demons. Ink and colours on silk. Signed and sealed.",devil/demon;deity
745,Etchu Tateyama shinkei ÅE∂ÅEÅE∏≠ÅE´ÅEÅE±±ÅEÅEÅEÅEÅEØ / Shokoku meisho hyakkei ÅE´∏ÅEÅEΩÅEÅEÅEÅEÅEÄÅEÅEæÅEÅEØ (One Hundred Views of Famous Places in the Provinces),https://research.britishmuseum.org/collectionimages/AN00810/AN00810422_001_l.jpg,Woodblock print from album of 59 sheets.,
747,Nishikawa-fu sumi-e moyo sampukutsui hidari / Three Beauties of the Throne,https://research.britishmuseum.org/collectionimages/AN00420/AN00420859_001_l.jpg,"Woodblock print, triptych (part of). Bijinga. An Osaka courtesan. Urushi-e on paper.",courtesan/prostitute;bijin
748,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00230/AN00230527_001_l.jpg,Hanging scroll. Deity. Hotei looking at his reflection. Ink on paper.,deity
749,Shinnyo no tsuki ÅEÅEÅEÅE¶ÅEÅEÅEÅE (The Moon of Absolute Reality) / Yoshitoshi ryakuga ÅEÅE≥ÅEπ¥ÅEÅE•ÅEÅEª (Quick Drawings by Yoshitoshi),https://research.britishmuseum.org/collectionimages/AN00526/AN00526799_001_l.jpg,"Chuban woodblock print, relating to the group of 52 preparatory drawings.",warrior;buddhist monk/nun
751,triptych print,https://research.britishmuseum.org/collectionimages/AN00689/AN00689681_001_l.jpg,"Woodblock print, triptych. Townscape. Riverside scene on Sumida, with women seated at a tea-stall on the quay and boats with a firework display. Nishiki-e on paper.",tea production/trade;landscape;fireworks/illuminations;dock/quay;boat/ship
752,Edo Misaka no zu / Toto Meisho Saka-zukushi no uchi,https://research.britishmuseum.org/collectionimages/AN00518/AN00518047_001_l.jpg,"Woodblock print.Townscape. View of Misaka, with figures overlooking town. Nishiki-e on paper.",landscape
753,No 5 Kando ni omomuku Yoshitsune Hiyodari-goe no kenshun nansho oyojinoboru / Yoshitsune Ichidai-ki no uchi,https://research.britishmuseum.org/collectionimages/AN00523/AN00523667_001_l.jpg,"Woodblock print.History, myth and legend. Yoshitsune. Nishiki-e on paper.",myth/legend;history
754,Shimotsuke Kurokami-yama Kirifuri no taki / Kanto Meisho Zue,https://research.britishmuseum.org/collectionimages/AN00535/AN00535338_001_l.jpg,"Woodblock print. Rural landscape. Kirifuri Falls, at Kurokami-yama. Nishiki-e on paper.",waterfall/cascade;landscape
755,Shinshu Sarashina tagoto no tsuki / Honcho Meisho,https://research.britishmuseum.org/collectionimages/AN00535/AN00535335_001_l.jpg,Woodblock print. Rural landscape. Moon reflected at Sarashina in the paddy-fields. Nishiki-e on paper.,moon;landscape
756,No 60 Imasu / Kisokaido Rokujukyu-tsugi no uchi,https://research.britishmuseum.org/collectionimages/AN00535/AN00535890_001_l.jpg,Print: Woodblock-printed. Popular culture. Figures by buildings with hills beyond. Nishiki-e on paper.,
757,nagasaki-e / print,https://research.britishmuseum.org/collectionimages/AN00512/AN00512222_001_l.jpg,"Woodblock print, Nagasaki-e. A young Dutch woman holding a parrot on a perch. Nishiki-e on paper.",foreigner;dutch;bird
758,Kudan uma-kake ÅEπÅEÅEÆµÅE¶¨ÅEÅEÅEÅEÅEÅE (Horse Racing at Kudan),https://research.britishmuseum.org/collectionimages/AN00512/AN00512061_001_l.jpg,"Album of woodblock-prints remounted as 29 single sheets. Scenes of Tokyo.  This image 1939,0524,0.71.15",horse-racing
759,Furyu enshoku Mane'emon ÅE¢®ÅEµÅEÅEÅE∂ÅEÅE≤ÅEÅEÅEÅEººÅEÅEÅEÅEÅEÅEÅEÅEÅE (Elegant Amorous Mane'emon),https://research.britishmuseum.org/collectionimages/AN00583/AN00583024_001_l.jpg,"Colour woodblock print, shunga. Lovers, watched by a black dog on a verandah.",eroticism/sex;dog
760,surimono / diptych print,https://research.britishmuseum.org/collectionimages/AN00607/AN00607260_001_l.jpg,"Woodblock print, diptych. Surimono. Popular culture. Crowd of pilgrims, mainly female, wending their way round the shores of Shinobazu Lake to the shrine of Benten. Nishiki-e on paper.",shrine;seascape;pilgrim
761,diptych print,https://research.britishmuseum.org/collectionimages/AN00667/AN00667474_001_l.jpg,Diptych woodblock print from an album of 58 sheets. Actors Hanshiro and Koshiro.,kabuki;actor/actress
762,Ki no Tomonori,https://research.britishmuseum.org/collectionimages/AN00421/AN00421919_001_l.jpg,"Woodblock print.Classical literature. Bijinga. Woman and her maid walking by river in snow with umbrellas, three small birds. Poem by Ki no Tomonori. Nishiki-e on paper.",snow;servant/domestic worker;literature;bird;bijin
763,Azuma Furyu no uchi,https://research.britishmuseum.org/collectionimages/AN00537/AN00537087_001_l.jpg,"Woodblock print. Bijinga. popular culture. Lady emerging from behind screen on which series is written in kana, above is view of Yoshiwara. Nishiki-e on paper.",pleasure quarters;bijin
764,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00230/AN00230161_001_l.jpg,"Painting, hanging-scroll. Cat licking its paw. Ink and colour on paper. Signed and sealed.",cat
765,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00221/AN00221030_001_l.jpg,Painting. Flower. Girl and mallow plants. According to reg. Fuji behind.,courtesan/prostitute;bijin
767,Hagoromo (The Feathered Cloak) / Furyu utai mitate (Stylishly Viewed as Noh Chants),https://research.britishmuseum.org/collectionimages/AN00422/AN00422196_001_l.jpg,"Woodblock print. Popular culture. Music, dance, drama, with poem, girl lost string of clog and boy has had bean-cake stolen. Nishiki-e on paper.",footwear;theatre/theatrical life;food/drink;child;mitate;dog
768,mitate-e / print,https://research.britishmuseum.org/collectionimages/AN00440/AN00440427_001_l.jpg,"Woodblock print. Popular culture. Mitate. Woman brushing snow from eaves of her house at New Year, with traveller on road, parody of play Hachi no ki. Benizuri-e on paper.",traveller/travel;theatre/theatrical life;snow;domestic building;yatsushi
769,Morita Kanya VIII as Shida no Saemon(?) ÅEÅE´ÅEª£ÅEÅEÆÅE£ÆÅEÅE∞ÅEÅEÅEÅEº•ÅEÅEÆÅEø°ÅEÅE∞ÅE∑¶ÅE°ÅEÅEÅEÄ(?),https://research.britishmuseum.org/collectionimages/AN00513/AN00513018_001_l.jpg,Woodblock print. Actor Morita Kanya.,kabuki;actor/actress
770,Matsubaya Wakana ÅEÅEæÅEÅEÅEÅEÅEÅEÅEÅE•ÅEÅE£ (Wakana of Matsubaya) / Seiro bijin rokkasen ÅEÅEÅEÅE•ºÅEæÅEÅE∫∫ÅEÅE≠ÅEÅE±ÅEªÅE (Six Blossoming Immortal Beauties of Yoshiwara),https://research.britishmuseum.org/collectionimages/AN00524/AN00524284_001_l.jpg,"Colour woodblock print, mitate-e. Courtesan Wakana of Matsubaya sitting and reading from poetic anthology by candlelight. Inscribed, signed, sealed and marked.",travesty;six immortals of poetry;courtesan/prostitute;bijin;yatsushi
771,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422228_001_l.jpg,Colour woodblock print. Servant handing to woman crossing river-shallows on horse-back branch of kerria. With poem. Inscribe and signed.,courtesan/prostitute;literature;equestrian
774,forgery / painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00229/AN00229853_001_l.jpg,Hanging scroll. Girls in boat.,fuzoku
775,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00168/AN00168243_001_l.jpg,Kakemono. Lady on pilgrimage. Ink and colours and gold on silk.,fuzoku
776,"Keisei Umegawa, Hikyakuya ChubeiÅEÄÄÅE•ÅEÅEÅEÅEÅE¢ÅEÅE∑ÅEÅEÄÄÅE£ÅEÅEÅEÅEÅE±ÅEÅEø†ÅEÅEµÅE°ÅE (The Courtesan Umegawa and Chubei of the Courier Firm) / Jitsu kurabe iro no minakamiÅEÄÄÅEÆÅEÅE´∂ÅEÅE≤ÅEπÅEÅEæÅEÅEÅEÅEÅEÆ∂ÅE¶ÅE (True Feelings Compared: The Founts of Love)",https://research.britishmuseum.org/collectionimages/AN00155/AN00155666_001_l.jpg,Woodblock: print. The courtesan Umegawa and Chubei of the courier firm.,theatre/theatrical life;courtesan/prostitute
777,Fujo ninso juppon ÅE©¶ÅE•≥ÅE∫∫ÅEÅE∏ÅEÅEÅEÅEÅEÅE (Ten Classes of Women's Physiognomy),https://research.britishmuseum.org/collectionimages/AN00527/AN00527037_001_l.jpg,"Colour woodblock print with white mica ground.  Bijinga. Woman reading letter held up close to her face. Nishiki-e on paper. Inscribed, signed, sealed and marked.",bijin
778,triptych print,https://research.britishmuseum.org/collectionimages/AN00325/AN00325363_003_l.jpg,"Colour woodblock triptych print. Party in pleasure boat on Sumida River at night, encountering group dredging for fish in small boat with large scoop-net. Nishi-e on paper. Signed and sealed.",boat/ship
779,triptych print,https://research.britishmuseum.org/collectionimages/AN00035/AN00035311_001_l.jpg,"COMPASS Title: Kitagawa Utamaro, Women sewing, a triptych of colour woodblock prints;Women sewing, a print",needlework;cat
780,print,https://research.britishmuseum.org/collectionimages/AN00528/AN00528060_001_l.jpg,"Colour woodblock print. Bust portrait of courtesan; women pounding cloth with pestles in mortar and stretching it out in Chofu Jewel River in inset landscape; pestles with flowing water pattern in background; with poem. Nishiki-e on paper, with gauffrage. Inscribed, signed, marked and sealed.",courtesan/prostitute;landscape
781,Fujin sogaku jittaiÅEÄÄÅE©¶ÅE∫∫ÅEÅE∏ÅE≠¶ÅEÅEæÅE∫∞ (Ten Types in the Physiognomic Study of Women),https://research.britishmuseum.org/collectionimages/AN00524/AN00524831_001_l.jpg,"Colour woodblock print. One composition of ten designs. Woman with hair wrapped in towel, grinding hand-mill and laughing. Nishiki-e on paper. Inscribed, signed and marked.",bijin
782,"Karasaki no yoru no ame (Night rain at Karasaki) / Omi hakkei (Eight Views of Omi, No 2)",https://research.britishmuseum.org/collectionimages/AN00418/AN00418852_001_l.jpg,"Woodblock print. Night rain at Karasaki, with travellers, shrine and famous old pine. With poem. With hand-colouring, lacquer (ink and glue), and metal dust. Urushi-e on paper. Inscribed, signed and marked.",landscape
783,Nihonbashi (Japan Bridge) / Tokyo junikei (Twelve Views of Tokyo),https://research.britishmuseum.org/collectionimages/AN00224/AN00224711_001_l.jpg,Woodblock print. Geisha with townscape set in a cartouche. Annotations and seals.,
784,diptych print,https://research.britishmuseum.org/collectionimages/AN00530/AN00530561_001_l.jpg,"Colour woodblock-printed diptych. Party in Shikian restaurant on Nakazu island overlooking Sumida River; with sake, fish and shamisen; storehouses of Fukagawa on opposite bank. Signed, sealed, marked and inscribed.",restaurant;feast/banquet
785,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00229/AN00229862_001_l.jpg,Painting. Battle of Danoura showing two warriors on horseback.,literature;history;equestrian
786,print,https://research.britishmuseum.org/collectionimages/AN00081/AN00081701_001_l.jpg,"Woodblock. General subject - kabuki. Actor Sanogawa Ichimatsu III as Onayo of Gion. Nishiki-e on paper. (According to register, with mica ground).",kabuki;actor/actress
787,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521343_001_l.jpg,"Colour woodblock print with powdered mica ground. Actor Ichikawa Ebizo as Takemura Sadanoshin in play 'The Loved Wife's Parti-Coloured Reins'; holding hands in front of him. Signed, sealed and marked.",kabuki;actor/actress
788,print,https://research.britishmuseum.org/collectionimages/AN00513/AN00513270_001_l.jpg,"Colour woodblock print with powdered mica ground. Actors Nakayama Tomisaburo as Umegawa and Ichikawa Komazo II as her lover Chubei; walking under umbrella. 1 of 2 impressions. Signed, sealed and marked.",kabuki;actor/actress
789,print,https://research.britishmuseum.org/collectionimages/AN00513/AN00513266_001_l.jpg,"Colour woodblock print with powdered mica ground. Actor Otani Oniji as servant Edohei in mid-pose in play 'The Loved Wife's Parti-Coloured Reins'. Signed, sealed and marked.",kabuki;actor/actress
791,Yokohama koeki seiyojin nimotsu unso no zu,https://research.britishmuseum.org/collectionimages/AN00230/AN00230865_001_l.jpg,Woodblock. Seascape. Yokohama-e. Ships of all nations with figures. Nishiki-e on paper. Signed.,yokohama-e;seascape;nationality/peoples;foreigner
792,print,https://research.britishmuseum.org/collectionimages/AN00595/AN00595676_001_l.jpg,"Woodblock print. Actors Ichikawa Danzo and Otani Hiro in play 'Kusazuri-biki': Danzo trying to hurl boat into sea; Hiro crashing through side to prevent him. With 'tan' (red) applied by hand. Signed, sealed and marked.",kabuki;actor/actress
793,print / hashira-e,https://research.britishmuseum.org/collectionimages/AN00634/AN00634385_001_l.jpg,"Woodblock print. Subject - classical. A poetess in classical dress contemplating a coastal vista featuring a temple on a pine-clad promontory, alluded to in the poem above as Waka no Ura (The Shores of Poetry). Nishiki-e on paper. Hashirakake.",literature;coastal scene
794,Kanjin no kogyo basho ryakuzu (Simple View of the Venue for the Performance of Subscription No),https://research.britishmuseum.org/collectionimages/AN00478/AN00478886_001_l.jpg,Woodblock-printed diptych. Aerial view of a no theatre. Signed. Inscribed.,theatre/opera house;no
795,painting,https://research.britishmuseum.org/collectionimages/AN00792/AN00792991_001_l.jpg,Painting. ?Section of a handscroll. Bust portrait of the Kabuki actor Nakamura Nakazo I within a circular border. Inscribed.,kabuki;actor/actress
796,surimono,https://research.britishmuseum.org/collectionimages/AN00612/AN00612217_001_l.jpg,"Woodblock print with embossing, surimono. Two miyakodori with landscape of Sumida River in snow, to mark the thirteenth anniversary of the death of the kyoka poet Akera Kanko. Printed signature and seal; printed poems above.",landscape;bird;kyoka
797,KorakuenÅEÄÄÅEæÅEÅE•ΩÅEÅEÅE (Korakuen Park) / Tokyo meisho zueÅEÄÄÅEÅE±ÅE∫¨ÅEÅEÅEÅEÅEÄÅEÅE≥ÅEπ™ (Famous Places in Tokyo),https://research.britishmuseum.org/collectionimages/AN00434/AN00434051_001_l.jpg,Woodblock print. Young woman beside pond at Koraku-en Park.,park;landscaped garden;bijin
798,ShokubutsuenÅEÄÄÅE§ÅEÅEÅE©ÅEÅEÅE (Botanical Gardens) / Tokyo meisho zueÅEÄÄÅEÅE±ÅE∫¨ÅEÅEÅEÅEÅEÄÅEÅE≥ÅEπ™ (Famous Places in Tokyo),https://research.britishmuseum.org/collectionimages/AN00434/AN00434055_001_l.jpg,Woodblock print. Woman and two children beside a pond in the Botanical Gardens.,landscaped garden;child;bijin
799,NijubashiÅEÄÄÅE∫ÅEÅEÅEÅEÅE©ÅE / Tokyo meisho zueÅEÄÄÅEÅE±ÅE∫¨ÅEÅEÅEÅEÅEÄÅEÅE≥ÅEπ™ (Famous Places in Tokyo),https://research.britishmuseum.org/collectionimages/AN00434/AN00434056_001_l.jpg,"Woodblock print. Woman with umbrella beside Niju-bashi Bridge, with the imperial palace in the background.",bridge;bijin
800,"Tsukiji monsekiÅEÄÄÅEØÅEÅEÅE∞ÅEÅEÄÅEÅE¢ (Site of the Gateway, Tsukiji) / Tokyo meisho zueÅEÄÄÅEÅE±ÅE∫¨ÅEÅEÅEÅEÅEÄÅEÅE≥ÅEµµ (Famous Places in Tokyo)",https://research.britishmuseum.org/collectionimages/AN00434/AN00434049_001_l.jpg,Woodblock print Young girl and dog in the moonlight at the site of the gateway at Tsukiji.,bijin;dog
801,Kanda MyojinÅEÄÄÅE•ÅEÅEÅE∞ÅEÅEÅEÅE•ÅE / Tokyo meisho zueÅEÄÄÅEÅE±ÅE∫¨ÅEÅEÅEÅEÅEÄÅEÅE≥ÅEπ™ (Famous Places in Tokyo),https://research.britishmuseum.org/collectionimages/AN00434/AN00434054_001_l.jpg,Woodblock print. Two women beside Kanda Myojin Shrine.,shrine;bijin
802,Komagata-doÅEÄÄÅEßÅEÅEΩ¢ÅE†ÅE (Komagata Hall) / Tokyo meisho zueÅEÄÄÅEÅE±ÅE∫¨ÅEÅEÅEÅEÅEÄÅEÅE≥ÅEµµ (Famous Places in Tokyo),https://research.britishmuseum.org/collectionimages/AN00434/AN00434048_001_l.jpg,Woodblock print. Woman and small girl beside Komagata Hall at night.,bijin
803,print,https://research.britishmuseum.org/collectionimages/AN00693/AN00693120_001_l.jpg,"Print. Woman on journey in snow, with boy attendant. Part of composition with OA+,0.38 (?).",attendant;traveller/travel;snow;child
806,print,https://research.britishmuseum.org/collectionimages/AN00594/AN00594573_001_l.jpg,"Woodblock print with very slight hand-colouring. Tokiwa Gozen at Fushimi in snow, leading two of sons by hand, and third inside her kimono; old couple in house in background. Inscribed.",myth/legend
809,Hyakkien teizen nonyo no zu,https://research.britishmuseum.org/collectionimages/AN00069/AN00069105_001_l.jpg,Woodblock: print from an album of 104 sheets. Nakamura Utaemon III and his son Nakamura Komanosuke enjoying the cool at the Hyakkien garden. Signed.,garden
810,Go Dairiki Koi no Fujime,https://research.britishmuseum.org/collectionimages/AN00602/AN00602581_001_l.jpg,"Woodblock print from an album of 104 sheets. The actors Nakamura Utaemon III as Katsuma Dengobei (right) and Asao Okuzan II as Mawashi Yasuke (left), in a play performed at the Naka theatre in the ninth month, 1826. Signed and sealed.",theatre/theatrical life;kabuki;actor/actress
811,print,https://research.britishmuseum.org/collectionimages/AN00602/AN00602648_001_l.jpg,"Woodblock print from an album of 104 sheets. The actor Nakamura Sanko making a speech on stage, at the opening-of-the-season (kaomise) performance at the Naka theatre in the 11th month, 1821. Signed.",theatre/theatrical life;kabuki;actor/actress
812,print,https://research.britishmuseum.org/collectionimages/AN00602/AN00602647_001_l.jpg,Woodblock print from an album of 104 sheets. The actor Onoe Kikugoro III during a public speech on stage at an Osaka theatre. Signed and sealed.,theatre/theatrical life;kabuki;actor/actress
813,print,https://research.britishmuseum.org/collectionimages/AN00190/AN00190091_001_l.jpg,"Woodblock print from an album of 104 sheets. The final stage appearance (isse ichidai) of the actor Nakamura Utaemon III as Shunkan at the Naka theatre in the third month, 1825. Signed and sealed.",kabuki;actor/actress
814,print,https://research.britishmuseum.org/collectionimages/AN00602/AN00602661_001_l.jpg,Woodblock print from an album of 104 sheets. The actor Bando Mitsugoro III in a double role as Kan Shojo and Kakuju (inset). Signed.,kabuki;actor/actress
815,print,https://research.britishmuseum.org/collectionimages/AN00602/AN00602671_001_l.jpg,Woodblock print from an album of 104 sheets. The actor Nakamura Tsurusuke I as Ishikawa Goemon. Signed.,kabuki;actor/actress
816,diptych print,https://research.britishmuseum.org/collectionimages/AN00601/AN00601827_001_l.jpg,Diptych: woodblock-prints from an album of 104 sheets. The actors Nakamura Utaemon III as Satomi (right) and Nakamura Sanko as the cooper's daughter O-Sen. Signed.,kabuki;actor/actress
817,diptych print,https://research.britishmuseum.org/collectionimages/AN00601/AN00601818_001_l.jpg,Diptych: woodblock-prints from an album of 104 sheets. The actors Nakamura Sanko as the cooper's daughter O-Sen (right) and Nakamura Utaemon III as Satomi Isuke (left). Signed.,kabuki;actor/actress
818,diptych print,https://research.britishmuseum.org/collectionimages/AN00601/AN00601813_001_l.jpg,Diptych: woodblock-prints from an album of 104 sheets. The actors Bando Mitsugoro III as Judge Kiyosumi (right) and Nakamura Utaemon III as the Widow Sadaka (left). Signed.,kabuki;actor/actress
819,diptych print,https://research.britishmuseum.org/collectionimages/AN00601/AN00601808_001_l.jpg,Diptych: woodblock-prints from an album of 104 sheets. Asao Kuzaemon I as Iwaki Chudayu (right) and Arashi Koroku IV as Okume (left). Signed.,kabuki;actor/actress
820,diptych print,https://research.britishmuseum.org/collectionimages/AN00601/AN00601670_001_l.jpg,"Diptych: woodblock-prints from an album of 104 sheets. The actors Nakamura Utaemon III as Tomi-maru (left) and Ichikawa Ebijuro I as Fuku-maru (right), in the play ""Katakiuchi Sozenji Baba"" performed at the Kado theatre in the ninth month, 1823. Signed.",kabuki;actor/actress
821,diptych print,https://research.britishmuseum.org/collectionimages/AN00601/AN00601664_001_l.jpg,Diptych: woodblock-prints from an album of 104 sheets. Asao Gakujuro as the sumo wrestler Nuregami Chogoro (right) and Arashi Kitsusaburo II as Hanaregoma Chokichi (left). Signed.,wrestling/wrestler;kabuki;actor/actress (?)
822,diptych print,https://research.britishmuseum.org/collectionimages/AN00601/AN00601652_001_l.jpg,"Woodblock print, diptych; from an album of 104 sheets. The actors Fujikawa Tomokichi II as the courtesan Aoyagi (right) and Nakamura Utaemon III as the farmer Jusaku (left). Signed.",courtesan/prostitute;kabuki;actor/actress
823,diptych print,https://research.britishmuseum.org/collectionimages/AN00601/AN00601631_001_l.jpg,"Diptych: woodblock prints from an album of 104 sheets. The actors Ichikawa Ebijuro I as Nizoro no Yahachi (right) and Arashi Kitsusaburo II as Fukakusa no Mosuke, in the play ""Keisei Aso Yamazkura"", performed in the Naka theatre in the first month, 1827. Signed.",theatre/theatrical life;kabuki;actor/actress
824,diptych print,https://research.britishmuseum.org/collectionimages/AN00601/AN00601606_001_l.jpg,"Diptych: woodblock prints from an album of 104 sheets. The actors Asao Gakujuro as Yamada Kojuro (right), Sawamura Kunitaro II as Oko (centre) and Arashi Kitsusaburo II as Imaki Denshichi (left). Signed.",kabuki;actor/actress
825,shunga / print,https://research.britishmuseum.org/collectionimages/AN00583/AN00583032_001_l.jpg,"Shunga. Man attempting to seduce a maid, who has dropped a tea cup. Hand-coloured book illustration. Woodblock-printed. (According to register, double page).",vessel;servant/domestic worker;eroticism/sex
826,Koshu Tsuriharizaki yama yori kosui Chikubu-shima shibo no zu / Shokoku Shima-zukushi,https://research.britishmuseum.org/collectionimages/AN00531/AN00531951_001_l.jpg,"Woodblock-printed fan-print. Lake with Chikubushima island, from Tsuriharizaki. Nishiki-e on paper.",landscape
827,Shinagawa no kihan ÅEÅEÅEÅE∑ÅEÅE∏∞ÅE∏ÅE (Boats Returning to Shinagawa) / Edo hakkeiÅEÄÄÅE±ÅEÅEÅE∏ÅEÅE´ÅEÅEØ (Eight Views of Edo),https://research.britishmuseum.org/collectionimages/AN00513/AN00513201_001_l.jpg,"Woodblock print.Classical series. Rural landscape. Boats returning at Shinagawa,+ scene inset. Nishiki-e on paper. According to register, Edo Hakkei.",landscape;boat/ship
828,Sumidagawa no rakugan ÅEßÅEÅEÅE∞ÅE∑ÅEÅEÅEΩÅEÅEÅE (Wild Geese Descending toward the Sumida River) / Edo hakkei ÅE±ÅEÅEÅE∏ÅEÅE´ÅEÅEØ (Eight Views of Edo),https://research.britishmuseum.org/collectionimages/AN00513/AN00513200_001_l.jpg,"Woodblock print.Classical series. Rural landscape. Wild geese alighting on the Sumida river,+ scene inset. Nishiki-e on paper. According to register, Edo Hakkei.",landscape;bird
829,Kinryuzan no bosetsu ÅEÅEÅEÅEæÅEÅE±±ÅEÅEÆÅEÅE™ (Evening Snow at Kinryuzan Temple) / Edo hakkeiÅEÄÄÅE±ÅEÅEÅEΩÅEÅE´ÅEÅEØ (Eight Views of Edo),https://research.britishmuseum.org/collectionimages/AN00513/AN00513552_001_l.jpg,"Woodblock print.Classical series. Rural landscape. Lingering snow at Kinryuzan Temple,+ snowy scene inset. Nishiki-e on paper. According to register, Edo Hakkei",snow;landscape
